YEAR,DOY,Hour,"Dst-index, nT"
1995,1,0,-2
1995,1,1,3
1995,1,2,6
1995,1,3,5
1995,1,4,3
1995,1,5,4
1995,1,6,5
1995,1,7,3
1995,1,8,1
1995,1,9,1
1995,1,10,-5
1995,1,11,-5
1995,1,12,1
1995,1,13,1
1995,1,14,-1
1995,1,15,0
1995,1,16,-1
1995,1,17,-3
1995,1,18,-4
1995,1,19,1
1995,1,20,13
1995,1,21,8
1995,1,22,7
1995,1,23,7
1995,2,0,10
1995,2,1,13
1995,2,2,18
1995,2,3,17
1995,2,4,17
1995,2,5,11
1995,2,6,3
1995,2,7,1
1995,2,8,-5
1995,2,9,-7
1995,2,10,-3
1995,2,11,-9
1995,2,12,-8
1995,2,13,-9
1995,2,14,-13
1995,2,15,-17
1995,2,16,-18
1995,2,17,-27
1995,2,18,-38
1995,2,19,-42
1995,2,20,-37
1995,2,21,-36
1995,2,22,-31
1995,2,23,-30
1995,3,0,-30
1995,3,1,-20
1995,3,2,-13
1995,3,3,-9
1995,3,4,-19
1995,3,5,-17
1995,3,6,-21
1995,3,7,-21
1995,3,8,-39
1995,3,9,-32
1995,3,10,-30
1995,3,11,-29
1995,3,12,-23
1995,3,13,-19
1995,3,14,-19
1995,3,15,-18
1995,3,16,-23
1995,3,17,-29
1995,3,18,-30
1995,3,19,-31
1995,3,20,-37
1995,3,21,-43
1995,3,22,-42
1995,3,23,-42
1995,4,0,-36
1995,4,1,-32
1995,4,2,-25
1995,4,3,-24
1995,4,4,-18
1995,4,5,-17
1995,4,6,-20
1995,4,7,-24
1995,4,8,-20
1995,4,9,-20
1995,4,10,-25
1995,4,11,-25
1995,4,12,-26
1995,4,13,-23
1995,4,14,-20
1995,4,15,-15
1995,4,16,-16
1995,4,17,-18
1995,4,18,-23
1995,4,19,-29
1995,4,20,-27
1995,4,21,-23
1995,4,22,-23
1995,4,23,-24
1995,5,0,-24
1995,5,1,-23
1995,5,2,-18
1995,5,3,-14
1995,5,4,-10
1995,5,5,-10
1995,5,6,-16
1995,5,7,-15
1995,5,8,-13
1995,5,9,-19
1995,5,10,-22
1995,5,11,-23
1995,5,12,-16
1995,5,13,-18
1995,5,14,-17
1995,5,15,-16
1995,5,16,-20
1995,5,17,-31
1995,5,18,-36
1995,5,19,-32
1995,5,20,-32
1995,5,21,-34
1995,5,22,-43
1995,5,23,-41
1995,6,0,-35
1995,6,1,-27
1995,6,2,-21
1995,6,3,-15
1995,6,4,-13
1995,6,5,-12
1995,6,6,-13
1995,6,7,-17
1995,6,8,-16
1995,6,9,-18
1995,6,10,-22
1995,6,11,-19
1995,6,12,-17
1995,6,13,-19
1995,6,14,-24
1995,6,15,-22
1995,6,16,-23
1995,6,17,-25
1995,6,18,-25
1995,6,19,-25
1995,6,20,-33
1995,6,21,-32
1995,6,22,-35
1995,6,23,-38
1995,7,0,-35
1995,7,1,-26
1995,7,2,-20
1995,7,3,-17
1995,7,4,-17
1995,7,5,-17
1995,7,6,-16
1995,7,7,-13
1995,7,8,-13
1995,7,9,-15
1995,7,10,-16
1995,7,11,-16
1995,7,12,-18
1995,7,13,-23
1995,7,14,-26
1995,7,15,-26
1995,7,16,-24
1995,7,17,-22
1995,7,18,-21
1995,7,19,-22
1995,7,20,-23
1995,7,21,-20
1995,7,22,-21
1995,7,23,-23
1995,8,0,-22
1995,8,1,-23
1995,8,2,-15
1995,8,3,-13
1995,8,4,-10
1995,8,5,-9
1995,8,6,-8
1995,8,7,-8
1995,8,8,-7
1995,8,9,-5
1995,8,10,-8
1995,8,11,-11
1995,8,12,-13
1995,8,13,-15
1995,8,14,-13
1995,8,15,-11
1995,8,16,-10
1995,8,17,-11
1995,8,18,-11
1995,8,19,-13
1995,8,20,-17
1995,8,21,-17
1995,8,22,-19
1995,8,23,-18
1995,9,0,-18
1995,9,1,-15
1995,9,2,-13
1995,9,3,-12
1995,9,4,-9
1995,9,5,-10
1995,9,6,-12
1995,9,7,-15
1995,9,8,-14
1995,9,9,-11
1995,9,10,-9
1995,9,11,-10
1995,9,12,-15
1995,9,13,-20
1995,9,14,-20
1995,9,15,-18
1995,9,16,-18
1995,9,17,-19
1995,9,18,-22
1995,9,19,-20
1995,9,20,-20
1995,9,21,-17
1995,9,22,-14
1995,9,23,-13
1995,10,0,-13
1995,10,1,-10
1995,10,2,-6
1995,10,3,-4
1995,10,4,-4
1995,10,5,-3
1995,10,6,-1
1995,10,7,0
1995,10,8,0
1995,10,9,-2
1995,10,10,-3
1995,10,11,-5
1995,10,12,-7
1995,10,13,-13
1995,10,14,-11
1995,10,15,-10
1995,10,16,-6
1995,10,17,-7
1995,10,18,-10
1995,10,19,-12
1995,10,20,-13
1995,10,21,-9
1995,10,22,-17
1995,10,23,-13
1995,11,0,-13
1995,11,1,-21
1995,11,2,-19
1995,11,3,-22
1995,11,4,-23
1995,11,5,-24
1995,11,6,-24
1995,11,7,-25
1995,11,8,-24
1995,11,9,-21
1995,11,10,-25
1995,11,11,-28
1995,11,12,-21
1995,11,13,-32
1995,11,14,-29
1995,11,15,-31
1995,11,16,-37
1995,11,17,-35
1995,11,18,-32
1995,11,19,-30
1995,11,20,-28
1995,11,21,-29
1995,11,22,-29
1995,11,23,-25
1995,12,0,-20
1995,12,1,-19
1995,12,2,-17
1995,12,3,-10
1995,12,4,-8
1995,12,5,-9
1995,12,6,-11
1995,12,7,-7
1995,12,8,-6
1995,12,9,-4
1995,12,10,-5
1995,12,11,-8
1995,12,12,-11
1995,12,13,-11
1995,12,14,-10
1995,12,15,-8
1995,12,16,-9
1995,12,17,-13
1995,12,18,-16
1995,12,19,-19
1995,12,20,-17
1995,12,21,-12
1995,12,22,-9
1995,12,23,-6
1995,13,0,-1
1995,13,1,3
1995,13,2,2
1995,13,3,-2
1995,13,4,-5
1995,13,5,-7
1995,13,6,-7
1995,13,7,-8
1995,13,8,-9
1995,13,9,-11
1995,13,10,-9
1995,13,11,-6
1995,13,12,-8
1995,13,13,-13
1995,13,14,-14
1995,13,15,-14
1995,13,16,-13
1995,13,17,-15
1995,13,18,-17
1995,13,19,-20
1995,13,20,-22
1995,13,21,-22
1995,13,22,-21
1995,13,23,-19
1995,14,0,-17
1995,14,1,-16
1995,14,2,-14
1995,14,3,-10
1995,14,4,-5
1995,14,5,-3
1995,14,6,-7
1995,14,7,-7
1995,14,8,-4
1995,14,9,-2
1995,14,10,-1
1995,14,11,0
1995,14,12,-2
1995,14,13,-5
1995,14,14,-8
1995,14,15,-8
1995,14,16,-10
1995,14,17,-13
1995,14,18,-16
1995,14,19,-18
1995,14,20,-17
1995,14,21,-15
1995,14,22,-11
1995,14,23,-9
1995,15,0,-10
1995,15,1,-9
1995,15,2,-8
1995,15,3,-6
1995,15,4,-3
1995,15,5,-2
1995,15,6,-4
1995,15,7,-7
1995,15,8,-4
1995,15,9,0
1995,15,10,-1
1995,15,11,-1
1995,15,12,-3
1995,15,13,-3
1995,15,14,-5
1995,15,15,-5
1995,15,16,-4
1995,15,17,-4
1995,15,18,-8
1995,15,19,-10
1995,15,20,-11
1995,15,21,-12
1995,15,22,-10
1995,15,23,-10
1995,16,0,-14
1995,16,1,-9
1995,16,2,-2
1995,16,3,-1
1995,16,4,-4
1995,16,5,-7
1995,16,6,-7
1995,16,7,-6
1995,16,8,-16
1995,16,9,-22
1995,16,10,-26
1995,16,11,-24
1995,16,12,-14
1995,16,13,-13
1995,16,14,-17
1995,16,15,-20
1995,16,16,-29
1995,16,17,-35
1995,16,18,-35
1995,16,19,-37
1995,16,20,-39
1995,16,21,-43
1995,16,22,-42
1995,16,23,-37
1995,17,0,-29
1995,17,1,-29
1995,17,2,-29
1995,17,3,-28
1995,17,4,-30
1995,17,5,-31
1995,17,6,-37
1995,17,7,-40
1995,17,8,-37
1995,17,9,-44
1995,17,10,-47
1995,17,11,-54
1995,17,12,-51
1995,17,13,-47
1995,17,14,-48
1995,17,15,-46
1995,17,16,-43
1995,17,17,-49
1995,17,18,-63
1995,17,19,-73
1995,17,20,-74
1995,17,21,-65
1995,17,22,-81
1995,17,23,-77
1995,18,0,-75
1995,18,1,-80
1995,18,2,-87
1995,18,3,-88
1995,18,4,-90
1995,18,5,-91
1995,18,6,-95
1995,18,7,-85
1995,18,8,-78
1995,18,9,-74
1995,18,10,-70
1995,18,11,-60
1995,18,12,-57
1995,18,13,-53
1995,18,14,-51
1995,18,15,-54
1995,18,16,-55
1995,18,17,-53
1995,18,18,-55
1995,18,19,-55
1995,18,20,-48
1995,18,21,-46
1995,18,22,-46
1995,18,23,-43
1995,19,0,-40
1995,19,1,-38
1995,19,2,-38
1995,19,3,-38
1995,19,4,-34
1995,19,5,-31
1995,19,6,-29
1995,19,7,-27
1995,19,8,-27
1995,19,9,-28
1995,19,10,-25
1995,19,11,-27
1995,19,12,-28
1995,19,13,-29
1995,19,14,-28
1995,19,15,-27
1995,19,16,-26
1995,19,17,-26
1995,19,18,-29
1995,19,19,-30
1995,19,20,-28
1995,19,21,-27
1995,19,22,-22
1995,19,23,-20
1995,20,0,-17
1995,20,1,-11
1995,20,2,-5
1995,20,3,-8
1995,20,4,-10
1995,20,5,-10
1995,20,6,-11
1995,20,7,-11
1995,20,8,-10
1995,20,9,-9
1995,20,10,-13
1995,20,11,-15
1995,20,12,-17
1995,20,13,-16
1995,20,14,-11
1995,20,15,-14
1995,20,16,-17
1995,20,17,-22
1995,20,18,-25
1995,20,19,-27
1995,20,20,-25
1995,20,21,-22
1995,20,22,-20
1995,20,23,-24
1995,21,0,-26
1995,21,1,-20
1995,21,2,-17
1995,21,3,-15
1995,21,4,-12
1995,21,5,-7
1995,21,6,-3
1995,21,7,-2
1995,21,8,-3
1995,21,9,-6
1995,21,10,-10
1995,21,11,-13
1995,21,12,-14
1995,21,13,-17
1995,21,14,-17
1995,21,15,-13
1995,21,16,-13
1995,21,17,-8
1995,21,18,-4
1995,21,19,-9
1995,21,20,-12
1995,21,21,-13
1995,21,22,-13
1995,21,23,-19
1995,22,0,-21
1995,22,1,-18
1995,22,2,-13
1995,22,3,-6
1995,22,4,-4
1995,22,5,-5
1995,22,6,-4
1995,22,7,0
1995,22,8,4
1995,22,9,7
1995,22,10,6
1995,22,11,0
1995,22,12,-5
1995,22,13,-8
1995,22,14,-9
1995,22,15,-2
1995,22,16,-5
1995,22,17,-11
1995,22,18,-13
1995,22,19,-12
1995,22,20,-12
1995,22,21,-12
1995,22,22,-14
1995,22,23,-14
1995,23,0,-12
1995,23,1,-11
1995,23,2,-14
1995,23,3,-11
1995,23,4,-13
1995,23,5,-11
1995,23,6,-8
1995,23,7,-6
1995,23,8,-6
1995,23,9,-5
1995,23,10,-6
1995,23,11,-7
1995,23,12,-8
1995,23,13,-12
1995,23,14,-14
1995,23,15,-13
1995,23,16,-11
1995,23,17,-11
1995,23,18,-14
