Time,"Dst-index, nT"
788918400,-2
788922000,3
788925600,6
788929200,5
788932800,3
788936400,4
788940000,5
788943600,3
788947200,1
788950800,1
788954400,-5
788958000,-5
788961600,1
788965200,1
788968800,-1
788972400,0
788976000,-1
788979600,-3
788983200,-4
788986800,1
788990400,13
788994000,8
788997600,7
789001200,7
789004800,10
789008400,13
789012000,18
789015600,17
789019200,17
789022800,11
789026400,3
789030000,1
789033600,-5
789037200,-7
789040800,-3
789044400,-9
789048000,-8
789051600,-9
789055200,-13
789058800,-17
789062400,-18
789066000,-27
789069600,-38
789073200,-42
789076800,-37
789080400,-36
789084000,-31
789087600,-30
789091200,-30
789094800,-20
789098400,-13
789102000,-9
789105600,-19
789109200,-17
789112800,-21
789116400,-21
789120000,-39
789123600,-32
789127200,-30
789130800,-29
789134400,-23
789138000,-19
789141600,-19
789145200,-18
789148800,-23
789152400,-29
789156000,-30
789159600,-31
789163200,-37
789166800,-43
789170400,-42
789174000,-42
789177600,-36
789181200,-32
789184800,-25
789188400,-24
789192000,-18
789195600,-17
789199200,-20
789202800,-24
789206400,-20
789210000,-20
789213600,-25
789217200,-25
789220800,-26
789224400,-23
789228000,-20
789231600,-15
789235200,-16
789238800,-18
789242400,-23
789246000,-29
789249600,-27
789253200,-23
789256800,-23
789260400,-24
789264000,-24
789267600,-23
789271200,-18
789274800,-14
789278400,-10
789282000,-10
789285600,-16
789289200,-15
789292800,-13
789296400,-19
789300000,-22
789303600,-23
789307200,-16
789310800,-18
789314400,-17
789318000,-16
789321600,-20
789325200,-31
789328800,-36
789332400,-32
789336000,-32
789339600,-34
789343200,-43
789346800,-41
789350400,-35
789354000,-27
789357600,-21
789361200,-15
789364800,-13
789368400,-12
789372000,-13
789375600,-17
789379200,-16
789382800,-18
789386400,-22
789390000,-19
789393600,-17
789397200,-19
789400800,-24
789404400,-22
789408000,-23
789411600,-25
789415200,-25
789418800,-25
789422400,-33
789426000,-32
789429600,-35
789433200,-38
789436800,-35
789440400,-26
789444000,-20
789447600,-17
789451200,-17
789454800,-17
789458400,-16
789462000,-13
789465600,-13
789469200,-15
789472800,-16
789476400,-16
789480000,-18
789483600,-23
789487200,-26
789490800,-26
789494400,-24
789498000,-22
789501600,-21
789505200,-22
789508800,-23
789512400,-20
789516000,-21
789519600,-23
789523200,-22
789526800,-23
789530400,-15
789534000,-13
789537600,-10
789541200,-9
789544800,-8
789548400,-8
789552000,-7
789555600,-5
789559200,-8
789562800,-11
789566400,-13
789570000,-15
789573600,-13
789577200,-11
789580800,-10
789584400,-11
789588000,-11
789591600,-13
789595200,-17
789598800,-17
789602400,-19
789606000,-18
789609600,-18
789613200,-15
789616800,-13
789620400,-12
789624000,-9
789627600,-10
789631200,-12
789634800,-15
789638400,-14
789642000,-11
789645600,-9
789649200,-10
789652800,-15
789656400,-20
789660000,-20
789663600,-18
789667200,-18
789670800,-19
789674400,-22
789678000,-20
789681600,-20
789685200,-17
789688800,-14
789692400,-13
789696000,-13
789699600,-10
789703200,-6
789706800,-4
789710400,-4
789714000,-3
789717600,-1
789721200,0
789724800,0
789728400,-2
789732000,-3
789735600,-5
789739200,-7
789742800,-13
789746400,-11
789750000,-10
789753600,-6
789757200,-7
789760800,-10
789764400,-12
789768000,-13
789771600,-9
789775200,-17
789778800,-13
789782400,-13
789786000,-21
789789600,-19
789793200,-22
789796800,-23
789800400,-24
789804000,-24
789807600,-25
789811200,-24
789814800,-21
789818400,-25
789822000,-28
789825600,-21
789829200,-32
789832800,-29
789836400,-31
789840000,-37
789843600,-35
789847200,-32
789850800,-30
789854400,-28
789858000,-29
789861600,-29
789865200,-25
789868800,-20
789872400,-19
789876000,-17
789879600,-10
789883200,-8
789886800,-9
789890400,-11
789894000,-7
789897600,-6
789901200,-4
789904800,-5
789908400,-8
789912000,-11
789915600,-11
789919200,-10
789922800,-8
789926400,-9
789930000,-13
789933600,-16
789937200,-19
789940800,-17
789944400,-12
789948000,-9
789951600,-6
789955200,-1
789958800,3
789962400,2
789966000,-2
789969600,-5
789973200,-7
789976800,-7
789980400,-8
789984000,-9
789987600,-11
789991200,-9
789994800,-6
789998400,-8
790002000,-13
790005600,-14
790009200,-14
790012800,-13
790016400,-15
790020000,-17
790023600,-20
790027200,-22
790030800,-22
790034400,-21
790038000,-19
790041600,-17
790045200,-16
790048800,-14
790052400,-10
790056000,-5
790059600,-3
790063200,-7
790066800,-7
790070400,-4
790074000,-2
790077600,-1
790081200,0
790084800,-2
790088400,-5
790092000,-8
790095600,-8
790099200,-10
790102800,-13
790106400,-16
790110000,-18
790113600,-17
790117200,-15
790120800,-11
790124400,-9
790128000,-10
790131600,-9
790135200,-8
790138800,-6
790142400,-3
790146000,-2
790149600,-4
790153200,-7
790156800,-4
790160400,0
790164000,-1
790167600,-1
790171200,-3
790174800,-3
790178400,-5
790182000,-5
790185600,-4
790189200,-4
790192800,-8
790196400,-10
790200000,-11
790203600,-12
790207200,-10
790210800,-10
790214400,-14
790218000,-9
790221600,-2
790225200,-1
790228800,-4
790232400,-7
790236000,-7
790239600,-6
790243200,-16
790246800,-22
790250400,-26
790254000,-24
790257600,-14
790261200,-13
790264800,-17
790268400,-20
790272000,-29
790275600,-35
790279200,-35
790282800,-37
790286400,-39
790290000,-43
790293600,-42
790297200,-37
790300800,-29
790304400,-29
790308000,-29
790311600,-28
790315200,-30
790318800,-31
790322400,-37
790326000,-40
790329600,-37
790333200,-44
790336800,-47
790340400,-54
790344000,-51
790347600,-47
790351200,-48
790354800,-46
790358400,-43
790362000,-49
790365600,-63
790369200,-73
790372800,-74
790376400,-65
790380000,-81
790383600,-77
790387200,-75
790390800,-80
790394400,-87
790398000,-88
790401600,-90
790405200,-91
790408800,-95
790412400,-85
790416000,-78
790419600,-74
790423200,-70
790426800,-60
790430400,-57
790434000,-53
790437600,-51
790441200,-54
790444800,-55
790448400,-53
790452000,-55
790455600,-55
790459200,-48
790462800,-46
790466400,-46
790470000,-43
790473600,-40
790477200,-38
790480800,-38
790484400,-38
790488000,-34
790491600,-31
790495200,-29
790498800,-27
790502400,-27
790506000,-28
790509600,-25
790513200,-27
790516800,-28
790520400,-29
790524000,-28
790527600,-27
790531200,-26
790534800,-26
790538400,-29
790542000,-30
790545600,-28
790549200,-27
790552800,-22
790556400,-20
790560000,-17
790563600,-11
790567200,-5
790570800,-8
790574400,-10
790578000,-10
790581600,-11
790585200,-11
790588800,-10
790592400,-9
790596000,-13
790599600,-15
790603200,-17
790606800,-16
790610400,-11
790614000,-14
790617600,-17
790621200,-22
790624800,-25
790628400,-27
790632000,-25
790635600,-22
790639200,-20
790642800,-24
790646400,-26
790650000,-20
790653600,-17
790657200,-15
790660800,-12
790664400,-7
790668000,-3
790671600,-2
790675200,-3
790678800,-6
790682400,-10
790686000,-13
790689600,-14
790693200,-17
790696800,-17
790700400,-13
790704000,-13
790707600,-8
790711200,-4
790714800,-9
790718400,-12
790722000,-13
790725600,-13
790729200,-19
790732800,-21
790736400,-18
790740000,-13
790743600,-6
790747200,-4
790750800,-5
790754400,-4
790758000,0
790761600,4
790765200,7
790768800,6
790772400,0
790776000,-5
790779600,-8
790783200,-9
790786800,-2
790790400,-5
790794000,-11
790797600,-13
790801200,-12
790804800,-12
790808400,-12
790812000,-14
790815600,-14
790819200,-12
790822800,-11
