YEAR,DOY,Hour,"BZ, nT (GSE)","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Flow pressure,E elecrtric field,"Dst-index, nT"
2001,1,0,-1.2,999.9,290.0,99.99,0.2,-6
2001,1,1,-1.4,999.9,292.0,99.99,0.35,-2
2001,1,2,-1.8,999.9,287.0,99.99,0.49,2
2001,1,3,-1.8,999.9,286.0,99.99,0.49,4
2001,1,4,-1.4,999.9,286.0,99.99,0.37,1
2001,1,5,-2.3,999.9,283.0,99.99,0.65,0
2001,1,6,-2.2,999.9,280.0,99.99,0.62,1
2001,1,7,-2.3,999.9,279.0,99.99,0.64,0
2001,1,8,-1.7,999.9,276.0,99.99,0.47,-2
2001,1,9,-2.0,999.9,279.0,99.99,0.53,-7
2001,1,10,-2.3,999.9,280.0,99.99,0.62,-7
2001,1,11,-1.0,999.9,279.0,99.99,0.2,1
2001,1,12,-1.4,999.9,279.0,99.99,0.33,5
2001,1,13,0.1,999.9,282.0,99.99,-0.06,9
2001,1,14,0.9,999.9,279.0,99.99,-0.25,12
2001,1,15,0.2,999.9,281.0,99.99,-0.06,13
2001,1,16,0.9,999.9,276.0,99.99,-0.25,9
2001,1,17,2.3,999.9,275.0,99.99,-0.63,4
2001,1,18,4.0,999.9,278.0,99.99,-1.11,5
2001,1,19,-1.4,999.9,278.0,99.99,0.53,4
2001,1,20,1.7,999.9,283.0,99.99,-0.34,2
2001,1,21,-0.4,999.9,286.0,99.99,0.03,5
2001,1,22,-1.5,999.9,287.0,99.99,0.03,4
2001,1,23,-0.9,999.9,287.0,99.99,-0.17,-1
2001,2,0,0.0,999.9,285.0,99.99,-0.37,-3
2001,2,1,-1.8,999.9,284.0,99.99,0.23,-1
2001,2,2,0.3,999.9,279.0,99.99,-0.36,3
2001,2,3,0.0,999.9,278.0,99.99,-0.19,7
2001,2,4,-0.6,999.9,282.0,99.99,0.08,9
2001,2,5,-0.5,999.9,278.0,99.99,0.14,11
2001,2,6,-1.1,999.9,277.0,99.99,0.3,15
2001,2,7,-0.4,999.9,279.0,99.99,0.14,14
2001,2,8,1.1,999.9,274.0,99.99,-0.25,11
2001,2,9,1.4,999.9,271.0,99.99,-0.35,8
2001,2,10,2.0,999.9,270.0,99.99,-0.49,8
2001,2,11,2.6,999.9,268.0,99.99,-0.67,8
2001,2,12,2.4,999.9,266.0,99.99,-0.64,8
2001,2,13,2.3,999.9,265.0,99.99,-0.58,8
2001,2,14,2.2,999.9,281.0,99.99,-0.62,16
