Time,"BZ, nT (GSE)","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Flow pressure,E elecrtric field,"Dst-index, nT"
978307200,-1.2,999.9,290.0,99.99,0.2,-6
978310800,-1.4,999.9,292.0,99.99,0.35,-2
978314400,-1.8,999.9,287.0,99.99,0.49,2
978318000,-1.8,999.9,286.0,99.99,0.49,4
978321600,-1.4,999.9,286.0,99.99,0.37,1
978325200,-2.3,999.9,283.0,99.99,0.65,0
978328800,-2.2,999.9,280.0,99.99,0.62,1
978332400,-2.3,999.9,279.0,99.99,0.64,0
978336000,-1.7,999.9,276.0,99.99,0.47,-2
978339600,-2.0,999.9,279.0,99.99,0.53,-7
978343200,-2.3,999.9,280.0,99.99,0.62,-7
978346800,-1.0,999.9,279.0,99.99,0.2,1
978350400,-1.4,999.9,279.0,99.99,0.33,5
978354000,0.1,999.9,282.0,99.99,-0.06,9
978357600,0.9,999.9,279.0,99.99,-0.25,12
978361200,0.2,999.9,281.0,99.99,-0.06,13
978364800,0.9,999.9,276.0,99.99,-0.25,9
978368400,2.3,999.9,275.0,99.99,-0.63,4
978372000,4.0,999.9,278.0,99.99,-1.11,5
978375600,-1.4,999.9,278.0,99.99,0.53,4
978379200,1.7,999.9,283.0,99.99,-0.34,2
978382800,-0.4,999.9,286.0,99.99,0.03,5
978386400,-1.5,999.9,287.0,99.99,0.03,4
978390000,-0.9,999.9,287.0,99.99,-0.17,-1
978393600,0.0,999.9,285.0,99.99,-0.37,-3
978397200,-1.8,999.9,284.0,99.99,0.23,-1
978400800,0.3,999.9,279.0,99.99,-0.36,3
978404400,0.0,999.9,278.0,99.99,-0.19,7
978408000,-0.6,999.9,282.0,99.99,0.08,9
978411600,-0.5,999.9,278.0,99.99,0.14,11
978415200,-1.1,999.9,277.0,99.99,0.3,15
978418800,-0.4,999.9,279.0,99.99,0.14,14
978422400,1.1,999.9,274.0,99.99,-0.25,11
978426000,1.4,999.9,271.0,99.99,-0.35,8
978429600,2.0,999.9,270.0,99.99,-0.49,8
978433200,2.6,999.9,268.0,99.99,-0.67,8
978436800,2.4,999.9,266.0,99.99,-0.64,8
978440400,2.3,999.9,265.0,99.99,-0.58,8
978444000,2.2,999.9,281.0,99.99,-0.62,16
978447600,1.1,999.9,286.0,99.99,-0.34,16
978451200,1.1,999.9,289.0,99.99,-0.4,14
978454800,-0.7,999.9,291.0,99.99,0.03,15
978458400,1.4,999.9,297.0,99.99,-0.62,17
978462000,6.6,999.9,303.0,99.99,-2.12,19
978465600,4.7,999.9,299.0,99.99,-1.76,22
978469200,-6.1,999.9,302.0,99.99,1.51,24
978472800,4.9,15.8,323.0,3.08,-1.58,17
