,Unnamed: 0,Year,Month,year_val,mean,std_dev,no_obs,valid_check
2952,2952,1995,1,1995.042,32.6,5.3,630,1
2953,2953,1995,2,1995.123,45.8,3.9,620,1
2954,2954,1995,3,1995.204,46.3,3.8,706,1
2955,2955,1995,4,1995.288,21.6,3.6,698,1
2956,2956,1995,5,1995.371,19.4,2.8,781,1
2957,2957,1995,6,1995.455,22.5,3.8,747,1
2958,2958,1995,7,1995.538,20.4,3.1,842,1
2959,2959,1995,8,1995.623,18.2,3.6,854,1
2960,2960,1995,9,1995.707,15.7,3.0,708,1
2961,2961,1995,10,1995.79,30.6,3.7,734,1
2962,2962,1995,11,1995.874,14.0,3.7,594,1
2963,2963,1995,12,1995.958,14.9,3.6,515,1
2964,2964,1996,1,1996.042,13.3,3.4,535,1
2965,2965,1996,2,1996.124,7.7,3.4,532,1
2966,2966,1996,3,1996.206,12.6,3.1,621,1
2967,2967,1996,4,1996.29,6.8,2.5,678,1
2968,2968,1996,5,1996.373,7.6,3.1,676,1
2969,2969,1996,6,1996.456,16.5,2.9,682,1
2970,2970,1996,7,1996.54,11.8,2.6,766,1
2971,2971,1996,8,1996.624,19.7,3.5,759,1
2972,2972,1996,9,1996.708,3.0,2.5,656,1
2973,2973,1996,10,1996.791,0.7,2.1,630,1
2974,2974,1996,11,1996.874,24.9,4.4,536,1
2975,2975,1996,12,1996.958,14.0,2.9,543,1
2976,2976,1997,1,1997.042,7.4,3.2,497,1
2977,2977,1997,2,1997.123,11.0,2.9,545,1
2978,2978,1997,3,1997.204,12.1,2.4,627,1
2979,2979,1997,4,1997.288,23.0,3.3,663,1
2980,2980,1997,5,1997.371,25.4,2.8,716,1
2981,2981,1997,6,1997.455,20.8,2.5,656,1
2982,2982,1997,7,1997.538,12.9,4.2,700,1
2983,2983,1997,8,1997.623,35.7,3.8,723,1
2984,2984,1997,9,1997.707,59.7,4.8,661,1
2985,2985,1997,10,1997.79,32.8,3.6,623,1
2986,2986,1997,11,1997.874,50.4,4.7,465,1
2987,2987,1997,12,1997.958,55.5,4.6,418,1
2988,2988,1998,1,1998.042,44.5,4.6,521,1
2989,2989,1998,2,1998.123,50.2,4.6,559,1
2990,2990,1998,3,1998.204,82.0,5.9,571,1
2991,2991,1998,4,1998.288,70.6,7.2,537,1
2992,2992,1998,5,1998.371,74.0,4.8,620,1
2993,2993,1998,6,1998.455,90.5,6.0,521,1
2994,2994,1998,7,1998.538,96.7,6.3,597,1
2995,2995,1998,8,1998.623,121.1,7.4,586,1
2996,2996,1998,9,1998.707,132.0,8.6,502,1
2997,2997,1998,10,1998.79,78.5,6.6,432,1
2998,2998,1998,11,1998.874,97.3,6.8,472,1
2999,2999,1998,12,1998.958,119.2,9.4,435,1
3000,3000,1999,1,1999.042,86.0,7.6,475,1
3001,3001,1999,2,1999.123,98.0,7.6,446,1
3002,3002,1999,3,1999.204,103.5,6.8,518,1
3003,3003,1999,4,1999.288,93.6,7.5,569,1
3004,3004,1999,5,1999.371,149.6,8.5,630,1
3005,3005,1999,6,1999.455,207.2,10.5,567,1
3006,3006,1999,7,1999.538,173.5,9.3,594,1
3007,3007,1999,8,1999.623,142.3,12.9,649,1
3008,3008,1999,9,1999.707,106.3,6.5,624,1
3009,3009,1999,10,1999.79,168.7,10.4,531,1
3010,3010,1999,11,1999.874,188.3,12.3,406,1
3011,3011,1999,12,1999.958,116.8,9.3,404,1
3012,3012,2000,1,2000.042,133.1,10.4,450,1
3013,3013,2000,2,2000.124,165.7,10.4,490,1
3014,3014,2000,3,2000.206,217.7,11.9,456,1
3015,3015,2000,4,2000.29,191.5,10.2,529,1
3016,3016,2000,5,2000.373,165.9,10.1,551,1
3017,3017,2000,6,2000.456,188.0,8.8,532,1
3018,3018,2000,7,2000.54,244.3,12.0,507,1
3019,3019,2000,8,2000.624,180.5,9.4,626,1
3020,3020,2000,9,2000.708,156.0,11.2,558,1
3021,3021,2000,10,2000.791,141.6,8.0,483,1
3022,3022,2000,11,2000.874,158.1,8.9,380,1
3023,3023,2000,12,2000.958,143.3,8.7,391,1
3024,3024,2001,1,2001.042,142.6,9.2,437,1
3025,3025,2001,2,2001.123,121.5,8.1,453,1
3026,3026,2001,3,2001.204,165.8,11.9,485,1
3027,3027,2001,4,2001.288,161.7,9.4,578,1
3028,3028,2001,5,2001.371,142.1,8.3,578,1
3029,3029,2001,6,2001.455,202.9,10.8,586,1
3030,3030,2001,7,2001.538,123.0,8.4,645,1
3031,3031,2001,8,2001.623,161.5,9.3,654,1
3032,3032,2001,9,2001.707,238.2,12.1,518,1
3033,3033,2001,10,2001.79,194.1,11.3,628,1
3034,3034,2001,11,2001.874,176.6,13.3,509,1
3035,3035,2001,12,2001.958,213.4,12.5,487,1
3036,3036,2002,1,2002.042,184.6,11.7,500,1
3037,3037,2002,2,2002.123,170.2,11.3,475,1
3038,3038,2002,3,2002.204,147.1,9.1,580,1
3039,3039,2002,4,2002.288,186.9,9.8,603,1
3040,3040,2002,5,2002.371,187.5,9.7,595,1
3041,3041,2002,6,2002.455,128.8,7.7,569,1
3042,3042,2002,7,2002.538,161.0,11.0,628,1
3043,3043,2002,8,2002.623,175.6,9.8,663,1
3044,3044,2002,9,2002.707,187.9,10.1,554,1
3045,3045,2002,10,2002.79,151.2,8.0,543,1
3046,3046,2002,11,2002.874,147.2,8.2,470,1
3047,3047,2002,12,2002.958,135.3,10.0,408,1
3048,3048,2003,1,2003.042,133.5,7.4,482,1
3049,3049,2003,2,2003.123,75.7,5.7,538,1
3050,3050,2003,3,2003.204,100.7,7.5,633,1
3051,3051,2003,4,2003.288,97.9,6.4,619,1
3052,3052,2003,5,2003.371,86.8,6.6,606,1
3053,3053,2003,6,2003.455,118.7,7.9,672,1
3054,3054,2003,7,2003.538,128.3,7.9,677,1
3055,3055,2003,8,2003.623,115.4,7.3,721,1
3056,3056,2003,9,2003.707,78.5,5.8,685,1
3057,3057,2003,10,2003.79,97.8,8.8,570,1
3058,3058,2003,11,2003.874,82.9,6.3,443,1
3059,3059,2003,12,2003.958,72.2,5.3,441,1
3060,3060,2004,1,2004.042,60.6,5.2,491,1
